,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.67,0.75,-4.895,0.173,0.194,0.0,0.369,0.526,77.045,6hZPajczr6rZV0BoiVaL9G,229738
1,0.631,0.743,-4.353,0.0285,0.123,0.0,0.131,0.709,134.961,32s2XKjyXifmlGfU2tkT8y,178187
2,0.395,0.988,-1.936,0.163,0.000748,0.000536,0.241,0.327,152.974,7qNC8YKkXrzdKvcpL3xra6,165280
3,0.603,0.457,-5.384,0.297,0.526,0.0,0.0905,0.455,73.724,5IvdLxVB8gwwcgnEkXSSW2,242972
4,0.547,0.758,-4.78,0.0285,0.307,1.29e-06,0.186,0.308,87.928,1iQ1B8aUtGMdsezQhCTgMQ,195960
5,0.811,0.562,-10.183,0.0368,0.137,0.0,0.0623,0.965,129.039,2MioxSroS0g1mi24LLfcnq,255027
6,0.754,0.615,-5.346,0.171,0.275,0.0,0.13,0.349,140.036,1kaxyXcAi5ZHF3Q94QXsHK,214314
7,0.487,0.601,-11.492,0.0331,0.000106,0.0493,0.25,0.731,123.602,0W4EvXCjLH6OQjtDVzdPWg,163120
8,0.578,0.878,-3.434,0.0287,0.00112,0.0146,0.6,0.693,118.029,2S2dKZqymLiKM89JtQX2ki,272627
9,0.891,0.486,-7.803,0.159,0.0158,3.78e-06,0.0925,0.239,125.01,4scpF6J5uMBvoh6sFB7EL1,200080
10,0.526,0.34,-10.857,0.0563,0.986,0.258,0.175,0.937,134.534,4TVkzRgfTzMSrS1m8BVpVE,180813
11,0.751,0.921,-7.081,0.0793,0.0432,0.671,0.0806,0.535,122.412,1m18KeHIeYu3Cbl6qIVHGQ,345054
12,0.332,0.994,-4.336,0.137,0.000119,0.322,0.142,0.0829,106.086,61dTqhd46yMkSWmC5LAh5F,291440
13,0.0761,0.0272,-25.719,0.0411,0.96,0.814,0.0942,0.109,78.405,2o3Gw5AO7aEI3xwhmj378T,256000
14,0.706,0.665,-4.439,0.0478,0.0234,0.0,0.0439,0.458,128.906,0Jsv6VFvOFvwX0Bh2dZPz6,236173
15,0.491,0.0357,-26.026,0.0431,0.908,0.102,0.185,0.458,90.672,1FMeatMbQzuzNzlbyFeV4R,134093
16,0.305,0.351,-13.035,0.0344,0.965,0.72,0.0764,0.589,173.144,7FFJPNZir5XvQN2PmjIlTh,157986
17,0.254,0.26,-6.119,0.035,0.602,0.0,0.192,0.193,80.674,6OfTbviA1R1Exmf1oLjhT3,256653
18,0.814,0.693,-7.179,0.036,0.488,0.19,0.108,0.773,125.006,67h3AeLwglIaguXt95F0jQ,217800
19,0.502,0.35,-9.748,0.096,0.992,0.0447,0.233,0.722,73.369,6QFE0KgBhKt01IeA0NLpwE,184147
20,0.497,0.618,-8.428,0.122,0.243,0.000556,0.131,0.649,142.274,2JUBxYpuHP4dEJkx8u0g6N,412893
21,0.656,0.51,-7.325,0.0737,0.186,3.44e-06,0.0793,0.922,74.89,5JSwylbCJhMyTxwOcLmwlJ,204080
22,0.291,0.345,-14.423,0.0368,0.939,0.0209,0.226,0.113,89.513,3HSERrZRoHjpLELLJtFmN3,368707
23,0.616,0.761,-9.199,0.126,0.196,0.0025,0.374,0.708,145.074,4qbiCq2xkNPyojuZFeNeqx,240600
24,0.317,0.398,-12.869,0.0306,0.861,0.019,0.102,0.217,85.305,23jwGVcvsoJfXEiMbwXYgQ,185333
25,0.188,0.927,-10.01,0.0925,0.141,0.558,0.977,0.215,175.254,70YjixRbbPJAtwRKna0UCr,713427
26,0.813,0.596,-3.938,0.0578,0.00104,0.0,0.176,0.177,130.048,1GLcGInllpE4JUTStzaCOM,214000
27,0.626,0.703,-10.018,0.0789,0.0451,1.05e-06,0.0729,0.93,92.86,0KukNQucV6CZulV5cRT9kL,232467
28,0.661,0.704,-5.95,0.171,0.00905,0.00339,0.0989,0.708,200.235,4iquNtqT7OnEcwX8Lz7I8m,311427
29,0.685,0.243,-10.039,0.0803,0.901,0.0,0.148,0.706,123.134,6uFZbboK1A4h4jNc87AaOl,24800
30,0.547,0.335,-15.658,0.0751,0.604,0.916,0.087,0.628,79.971,2qS8RLAqAVfGdd1kkxs4AS,110200
31,0.757,0.76,-5.478,0.128,0.0592,0.0,0.17,0.47,92.028,21hoYZRx9E7FmCsw5vpYe0,185347
32,0.641,0.579,-8.276,0.0896,0.479,9.58e-05,0.214,0.421,145.995,6y4pOReFqH2wzo4CV91cZC,212428
33,0.828,0.73,-5.768,0.0416,0.00454,9.22e-05,0.166,0.881,114.023,30Gehq5zFjzXIfER2H18sw,230680
34,0.793,0.354,-15.324,0.117,0.5,0.949,0.185,0.967,129.556,5zA3qDqePMONrh1J3aCHDD,55867
35,0.591,0.899,-3.768,0.0536,0.00726,0.0,0.393,0.446,139.547,0O6VeBiFCwHrpVURJSsGsU,197920
36,0.534,0.648,-5.613,0.0336,0.178,0.0,0.0902,0.414,135.871,2xIq6jp2vPfUBS4BFG5pwI,250653
37,0.356,0.551,-9.722,0.0323,0.0131,0.00717,0.276,0.18,136.348,4tRgxIAzFBXVkf0qxBjuh9,293227
38,0.629,0.333,-12.23,0.0324,0.793,0.0135,0.237,0.801,89.044,2voXVu6NfHrToMxDUGaakP,172626
39,0.604,0.883,-3.821,0.047,0.0254,0.0,0.0813,0.544,90.001,0rSdhfeQmYAfzO3kcjsCpg,245533
40,0.804,0.716,-5.238,0.156,0.0151,0.915,0.0421,0.709,139.984,0kAu26UpNQ7yzStK5Fs8UA,263520
41,0.515,0.965,-4.736,0.0839,9.75e-05,0.00192,0.339,0.427,92.511,3k48E8ABmGGL0Dq00FVA9e,205049
42,0.456,0.367,-14.789,0.0338,0.904,0.00998,0.101,0.394,105.501,36UK6crisqOPwriw8W69as,126800
43,0.705,0.747,-4.542,0.0483,0.000361,0.0,0.311,0.29,129.972,5oeKoJMi9g6GXEbtz1ta0f,234773
44,0.698,0.902,-4.173,0.216,0.296,2.79e-06,0.0379,0.689,174.011,3zw1bmI2P2sGo8SvEGD39C,217480
45,0.719,0.593,-6.216,0.0518,0.0226,0.0,0.034,0.742,71.943,3VhmPFMa6r9TB0SdRxFwrJ,281800
46,0.616,0.8,-4.511,0.031,0.000144,1.1e-06,0.0812,0.782,125.111,4uSJr2HFdqRkdJx1JWgZOd,244560
47,0.687,0.845,-4.129,0.0283,0.00764,0.0,0.0302,0.914,108.039,2pd1r20Sxx2PWDICFKECKi,202893
48,0.764,0.724,-7.231,0.103,0.00316,0.0,0.259,0.563,124.468,4Wyrppmuf8Gwi9v8dQwGxy,237240
49,0.464,0.905,-5.38,0.0694,0.000179,3.2e-06,0.212,0.565,164.252,4fRBgRGpIfCfuIHLWSBK4h,182533
50,0.719,0.697,-8.791,0.0292,0.00302,0.00122,0.108,0.69,126.999,5OiZBzuWxhCWML6ntf62cU,202000
51,0.782,0.821,-7.112,0.142,0.101,0.0,0.167,0.961,150.068,7LIcw6vIi9EROpmuBNa9wV,268867
52,0.745,0.606,-8.319,0.0579,0.00754,0.0132,0.103,0.736,111.051,4UX1SyMfLnrUOir7VRTwbR,321613
53,0.421,0.93,-5.735,0.0882,0.017,0.0,0.891,0.3,115.057,6V55y9Ba7O1j8J9EFAxtwv,356760
54,0.845,0.553,-10.052,0.0508,0.00512,0.0239,0.122,0.602,122.424,6Tu5dahcR2fjSRUlKsm5zq,396033
55,0.278,0.845,-5.727,0.0601,0.000967,0.723,0.0683,0.239,136.219,5DhR2BlhEt6jfXuIrxMNcf,253040
56,0.552,0.795,-5.811,0.04,0.355,5.38e-06,0.439,0.749,116.546,493ZYZqnZZR6rKBOwjw3R2,189027
57,0.628,0.519,-5.973,0.0329,0.817,0.0,0.141,0.736,146.207,1Q9ePyZ6uZEU6Mmiux9KiE,174227
58,0.338,0.839,-10.797,0.0817,0.142,0.000285,0.703,0.735,111.829,3eqdRp8TvH23oXAZNOUgj0,245440
59,0.106,0.225,-16.793,0.0399,0.959,0.245,0.348,0.036,80.764,1ZqkuE5CLaAnpLiDTCqe1b,400160
60,0.527,0.8,-8.166,0.047,0.368,0.0,0.0552,0.694,158.366,73Krp0Hr9m8CcvJisAFYuS,166760
61,0.746,0.744,-5.56,0.254,0.067,0.0,0.279,0.452,162.964,1KzNsOkpQthVwpCJrADJEQ,184964
62,0.605,0.92,-2.298,0.0713,0.0012,0.000596,0.483,0.219,174.974,3FUZpoj9VV0sgc8RqbS3xQ,200787
63,0.513,0.971,-4.046,0.0828,1.06e-05,0.488,0.335,0.54,112.471,2fTAH7pXDArl5pvfNyxyLk,213633
64,0.753,0.703,-3.417,0.212,0.144,0.0,0.325,0.642,149.991,1Dk3CfJEtqvj7Xg2AWwfEn,262400
65,0.565,0.825,-4.245,0.0417,0.00303,0.0,0.0779,0.609,160.003,2TLDilmv1UmRTfyb7f2Hrx,218733
66,0.698,0.839,-3.026,0.0961,0.0646,0.000117,0.254,0.717,101.823,0QtlWFjqdiMyH78LBhNEeC,275960
67,0.692,0.732,-5.956,0.0626,0.0862,0.0,0.0807,0.761,112.997,1A8yFROvrvpFMklhEpqLfc,193427
68,0.626,0.79,-6.596,0.0393,0.0358,0.246,0.366,0.05,126.991,6zzeHA0z3jXBw1KRCVd1z1,302364
69,0.772,0.663,-6.845,0.0645,0.192,1.33e-06,0.288,0.681,96.989,2bZmrdAb8QPC1DJDfCxdyH,236280
70,0.462,0.825,-4.981,0.0473,0.00355,0.0,0.151,0.2,95.354,1n8qZkWe2nHhkknaR4x2mK,263053
71,0.536,0.626,-15.562,0.0926,0.574,0.0003,0.462,0.497,135.142,2vEkpTQX5GV75KKMtB55w5,153779
72,0.605,0.853,-8.996,0.0694,0.191,1.23e-05,0.0606,0.501,115.083,5Ard7Os60YgM0rgyZ6v7ed,287507
