danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;id;duration_ms
0.609;0.957;-3.046;0.0531;0.0092;1.35e-05;0.201;0.486;128.066;2xsRIYRAC0mXttKR4sZscl;148125
0.694;0.816;-4.741;0.0293;0.0796;1.17e-06;0.103;0.601;118.036;3aiOu3VFNOD9omIGG7nSq1;201425
0.792;0.503;-8.044;0.0626;0.0369;0.00057;0.0959;0.381;99.97;1xs8bOvm3IzEYmcLJVOc34;185093
0.701;0.601;-7.171;0.325;0.0271;0.0;0.0682;0.421;172.101;4e1U6KRJGed8gh3uRbAv3P;206282
0.602;0.91;-3.404;0.0308;0.00126;0.000174;0.12;0.228;127.944;3BKD1PwArikchz2Zrlp1qi;140018
0.833;0.872;-4.988;0.0426;0.384;0.365;0.113;0.741;112.044;7LKbaK4RD00Nso9EJk4opn;174480
0.468;0.618;-6.353;0.0835;0.0741;0.0;0.493;0.261;120.123;0YbFEoJi7Esa7lhIrEpBjl;225431
0.737;0.927;-4.0;0.0441;0.0195;0.000278;0.197;0.8;126.015;79DFRI318iJU1hvZnPzA4K;172143
0.555;0.634;-5.522;0.273;0.129;2.32e-06;0.188;0.555;170.228;2SiAcexM2p1yX6joESbehd;174045
0.724;0.725;-5.642;0.0694;0.412;2.77e-06;0.0716;0.708;90.046;2gwZ6ZmwlmNQyRgnP8hpO8;184811
0.545;0.779;-6.235;0.0751;0.243;1.66e-06;0.123;0.303;150.002;1DmW5Ep6ywYwxc2HMT5BG6;183375
0.51;0.448;-7.802;0.0636;0.574;1.04e-05;0.404;0.338;98.947;4cVnXm3iHSlOYRtHZcEEbj;134972
0.825;0.773;-5.234;0.0566;0.299;0.382;0.0912;0.511;125.005;4GCDX1A3tNGauj5FJfQfvy;223352
0.844;0.55;-7.903;0.0882;0.0318;0.00117;0.107;0.788;121.971;4BZZTXcd5ROagKhynqj61X;229387
0.632;0.405;-8.314;0.0294;0.418;1.15e-05;0.0941;0.377;115.007;4bArJbevzjgIfbPupg9GEl;207733
0.636;0.869;-5.289;0.0412;0.0378;0.0446;0.0808;0.306;143.011;5eTaQYBE1yrActixMAeLcZ;186496
0.72;0.63;-3.547;0.277;0.673;0.0;0.0936;0.607;179.974;0DWdj2oZMBFSzRsi2Cvfzf;199440
0.693;0.859;-6.513;0.0496;0.0866;0.000406;0.25;0.817;87.968;6tIkKaPaxg9SphUDePLQjd;147400
0.69;0.89;-4.866;0.0507;0.00903;1.61e-05;0.188;0.713;124.018;2F2p7b5Xq20mRyEeWYaeUF;181478
0.721;0.769;-4.111;0.105;0.0922;0.0;0.0817;0.915;155.932;2rmwqU7yzTvzkiaRV53DpT;187108
0.775;0.792;-4.686;0.102;0.203;0.0;0.128;0.71;88.006;3dAmEncotdt2zdvAJBSbCy;169987
0.729;0.708;-5.573;0.0616;0.0538;0.0;0.102;0.425;117.911;16vUeW77F6Xiz1irHBvTAM;174984
0.573;0.422;-7.621;0.0678;0.551;1.31e-05;0.102;0.693;124.357;26b3oVLrRUaaybJulow9kz;184791
0.681;0.459;-7.178;0.0398;0.595;0.0;0.0828;0.33;83.47;4otT81iBBpaf36roGtzT4a;218587
0.715;0.62;-6.005;0.0484;0.417;0.0;0.0822;0.172;97.95;4SI5jkfBClYmMWhWWH8f9p;221520
0.708;0.662;-4.34;0.065;0.0169;2.47e-05;0.122;0.625;121.975;7nZUNopZZQX1PhfuvrXTWN;139423
0.558;0.728;-7.66;0.299;0.346;0.0;0.206;0.613;99.337;6tsEmKHGc6vhegw8mrFhtF;177533
0.707;0.681;-4.325;0.0668;0.0632;5.15e-06;0.0322;0.646;117.999;0yLdNVWF3Srea0uzk55zFn;200455
0.768;0.644;-6.671;0.136;0.736;0.000837;0.173;0.53;95.05;609E1JCInJncactoMmkDon;194543
0.726;0.675;-8.251;0.16;0.272;0.0;0.121;0.846;137.954;66TAAKeoOD0cFpVRug9IXZ;183013
0.723;0.698;-6.162;0.0659;0.18;0.0;0.797;0.317;126.001;09rAJ1Q1NNJSaUKEW3X9P6;211348
0.719;0.756;-5.392;0.0761;0.0541;0.0;0.109;0.647;105.024;25Kyv5SeEenT0EETpP2hYn;219500
0.643;0.276;-8.481;0.0596;0.901;0.0;0.114;0.213;149.503;7dISpxgINJOQSuXUTEfB9x;191173
0.777;0.526;-6.221;0.0645;0.302;0.0;0.105;0.389;107.071;07bsRv0pcpbG4zJeLsUs1p;194849
0.792;0.874;-2.966;0.0852;0.0158;0.000365;0.071;0.934;113.969;1JUtrCqYzJ80tcAzMbCvir;186762
0.931;0.793;-4.666;0.133;0.0378;4.63e-06;0.0748;0.856;117.999;6IdcyYfBz9LG3SWIKVyNgh;166529
0.717;0.686;-6.388;0.0483;0.141;0.0;0.208;0.653;134.067;3q1FxEzXmsNmJrxaoICXzW;159573
0.508;0.43;-9.475;0.0335;0.83;0.000441;0.093;0.324;130.09;1odExI7RdWc4BT515LTAwj;212954
0.6;0.567;-7.269;0.033;0.00621;8.73e-06;0.495;0.0951;119.043;4VMRsbfZzd3SfQtaJ1Wpwi;268235
0.626;0.569;-7.971;0.0457;0.365;0.0;0.151;0.419;76.992;5bOWPM362XpMa8zn6UR9te;172394
0.898;0.732;-3.982;0.0427;0.621;1.29e-05;0.0908;0.96;115.955;6maTPqynTmrkWIralgGaoP;142759
0.867;0.723;-4.276;0.125;0.281;0.0;0.0934;0.872;135.033;2f8JQJctq8LZtaq6Hgdgb8;201533
0.778;0.632;-5.6;0.0493;0.274;0.0;0.0915;0.498;122.104;4nrPB8O7Y7wsOCJdgXkthe;218289
0.622;0.715;-4.04;0.0323;0.000982;0.0;0.0796;0.607;131.012;2KReCz1L5XkGIBhDncQ5VZ;164682
0.496;0.593;-5.154;0.0285;0.0476;0.0;0.0909;0.177;91.038;3AAY8YicetRPlDAkibHLiS;185933
0.569;0.554;-6.731;0.106;0.2;0.0;0.154;0.623;123.927;3dl81ypaK6k0y0RCszBKS4;189926
0.954;0.516;-5.817;0.16;0.03;7.54e-06;0.0504;0.624;105.001;6UN73IYd0hZxLi8wFPMQij;139560
0.596;0.798;-4.63;0.0285;0.00412;0.0;0.338;0.459;105.01;373gDROnujxNTFa1FojYIl;199342
0.531;0.525;-6.5;0.0671;0.232;0.0;0.441;0.502;66.9;7oDd86yk8itslrA9HRP2ki;232857
0.739;0.67;-5.61;0.0642;0.544;0.0;0.0629;0.401;114.777;4RFMijduXiJ13hHuYwPMoG;199907
