danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;id;duration_ms
0.707;0.681;-4.325;0.0668;0.0632;5.15e-06;0.0322;0.646;117.999;0yLdNVWF3Srea0uzk55zFn;200455
0.781;0.67;-3.912;0.0452;0.0103;0.0;0.0761;0.595;127.99;2Oycxb8QbPkpHTo8ZrmG0B;169333
0.652;0.698;-4.667;0.042;0.00112;0.000115;0.0886;0.47;96.021;5Q0Nhxo0l2bP3pNjpGJwV1;202067
0.53;0.422;-6.262;0.0342;0.407;0.0;0.107;0.349;119.964;2vwlzO0Qp8kfEtzTsCXfyE;221360
0.613;0.622;-5.794;0.0334;0.00882;0.0;0.37;0.484;80.003;2y4lAQpi5VTNLu2ldeTdUH;231240
0.707;0.681;-4.325;0.0668;0.0632;5.15e-06;0.0322;0.646;117.999;4DHcnVTT87F0zZhRPYmZ3B;200455
0.327;0.588;-6.611;0.0336;0.0834;0.0;0.104;0.329;161.074;0V8FYVlBFuXXTIvRnMbZyS;236067
0.672;0.642;-4.035;0.0313;0.0981;0.0;0.1;0.494;121.981;1daDRI9ahBonbWD8YcxOIB;196453
0.496;0.593;-5.154;0.0285;0.0476;0.0;0.0909;0.177;91.038;3AAY8YicetRPlDAkibHLiS;185933
0.699;0.805;-5.535;0.0345;0.00161;0.00177;0.249;0.232;109.976;4i2qxFEVVUi8yOYoxB8TCX;223280
